concept,classes,probe_accuracy_mean,probe_accuracy_std,baseline_accuracy_mean,baseline_accuracy_std,improvement_over_baseline
sex,"Female, Male",0.8176626826029217,0.005899613886119859,0.6737715803452855,0.0001626487213003437,0.14389110225763624
race,"Amer-Indian-Eskimo, Asian-Pac-Islander, Black, Other, White",0.8566401062416998,0.003342553240014132,0.8612217795484728,0.0,-0.004581673306772949
age group,"26-40, 41-60, 60+, <=25",0.954316069057105,0.0036526620290770395,0.399601593625498,0.0001626487213003437,0.5547144754316069
