attribute,group,n_samples,approval_rate,accuracy,roc_auc,tpr,fpr,disparate_impact_ratio,equalized_odds_gap,model
sex,Female,2984,0.08176943699731903,0.9292895442359249,0.9465158822193007,0.546742209631728,0.019384264538198404,0.3150696488498097,0.10280781683730322,XGBoost
sex,Male,6061,0.2595281306715064,0.8336908100973437,0.905754958692577,0.6495500264690313,0.08293384467881112,0.3150696488498097,0.10280781683730322,XGBoost
sex,Female,2984,0.07808310991957104,0.9182305630026809,0.937811105978726,0.48441926345609065,0.02356518434055492,0.3228251904655662,0.10160508805264412,NN
sex,Male,6061,0.24187427817191884,0.8117472364296321,0.8862223109316845,0.5860243515087348,0.08604985618408437,0.3228251904655662,0.10160508805264412,NN
race,Amer-Indian-Eskimo,96,0.09375,0.9270833333333334,0.8252840909090908,0.625,0.045454545454545456,0.28151260504201686,0.22678843226788437,XGBoost
race,Asian-Pac-Islander,268,0.26119402985074625,0.832089552238806,0.9095187917105725,0.6712328767123288,0.1076923076923077,0.28151260504201686,0.22678843226788437,XGBoost
race,Black,849,0.0812720848056537,0.9269729093050648,0.9595622119815669,0.5333333333333333,0.01747311827956989,0.28151260504201686,0.22678843226788437,XGBoost
race,Other,68,0.07352941176470588,0.9117647058823529,0.9642184557438794,0.4444444444444444,0.01694915254237288,0.28151260504201686,0.22678843226788437,XGBoost
race,White,7764,0.21432251416795467,0.8584492529623905,0.9207476839317154,0.6380068392769908,0.06262025537869512,0.28151260504201686,0.22678843226788437,XGBoost
race,Amer-Indian-Eskimo,96,0.08333333333333333,0.8958333333333334,0.78125,0.375,0.056818181818181816,0.3106549254959149,0.2688356164383562,NN
race,Asian-Pac-Islander,268,0.23507462686567165,0.8432835820895522,0.9088865472427116,0.6438356164383562,0.08205128205128205,0.3106549254959149,0.2688356164383562,NN
race,Black,849,0.07302709069493522,0.9140164899882215,0.9561827956989247,0.44761904761904764,0.020161290322580645,0.3106549254959149,0.2688356164383562,NN
race,Other,68,0.08823529411764706,0.8970588235294118,0.9303201506591336,0.4444444444444444,0.03389830508474576,0.3106549254959149,0.2688356164383562,NN
race,White,7764,0.2009273570324575,0.8386141164348274,0.9036124914432133,0.5749877870053737,0.06699317824033584,0.3106549254959149,0.2688356164383562,NN
